Brand,Model,Typ,Year,TPMS,Frequency,Description
AUDI,Audi A3,2026,2026,S0 907 273 B,433MHz,Steuergerät für Reifendruck- kontrolle 907907 - 7058 S0 907 273 Steuergerät für Reifendruck- kontrolle 907907 - 7008 W0 
AUDI,Audi A3,2026,2026,S0 907 273 S,433MHz,teuergerät für Reifendruck- kontrolle 907907 - 7008 W0 093 107 Reifendruck- und Profil- tiefenmesser 073073 - 0503 WA 90
AUDI,Audi A3,2026,2026,W0 093 107 R,433MHz,eifendruck- und Profil- tiefenmesser 073073 - 0503 WA 907 273 H Steuergerät für Reifendruck- kontrolle 907907 - 7063 WA 
AUDI,Audi A3,2026,2026,WA 907 273 H,433MHz,Steuergerät für Reifendruck- kontrolle 907907 - 7063 WA 907 273 H Steuergerät für Reifendruck- kontrolle 907907 - 7064 E
AUDI,Audi A3,2027,2027,4G5 071 210 A,433MHz,Nachrüstsatz für Reifendruckkontrolle enthält: 073073 - 0308 S0 907 273 B Steuergerät für Reifendruck- kontrolle 907907 
AUDI,Audi A3,2027,2027,S0 907 273 B,433MHz,Steuergerät für Reifendruck- kontrolle 907907 - 7058 S0 907 273 Steuergerät für Reifendruck- kontrolle 907907 - 7008 W0 
AUDI,Audi A3,2027,2027,S0 907 273 S,433MHz,teuergerät für Reifendruck- kontrolle 907907 - 7008 W0 093 107 Reifendruck- und Profil- tiefenmesser 073073 - 0503 WA 90
AUDI,Audi A3,2027,2027,W0 093 107 R,433MHz,eifendruck- und Profil- tiefenmesser 073073 - 0503 WA 907 273 H Steuergerät für Reifendruck- kontrolle 907907 - 7063 WA 
AUDI,Audi A3,2027,2027,WA 907 273 H,433MHz,Steuergerät für Reifendruck- kontrolle 907907 - 7063 WA 907 273 H Steuergerät für Reifendruck- kontrolle 907907 - 7064 E
AUDI,Audi A4,2021,2021,W0 906 261 F,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2021,2021,W5 061 197 L,433MHz,adekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsystem 010010 - 0208 W0 010 502 
AUDI,Audi A4,2021,2021,W9 061 197 A,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2021,2021,W9 061 197 L,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2022,2022,W0 906 261 F,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2022,2022,W5 061 197 L,433MHz,adekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsystem 010010 - 0208 W0 010 502 
AUDI,Audi A4,2022,2022,W9 061 197 A,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2022,2022,W9 061 197 L,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2023,2023,W0 906 261 F,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2023,2023,W5 061 197 L,433MHz,adekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsystem 010010 - 0208 W0 010 502 
AUDI,Audi A4,2023,2023,W9 061 197 A,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2023,2023,W9 061 197 L,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2024,2024,W0 906 261 F,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2024,2024,W5 061 197 L,433MHz,adekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsystem 010010 - 0208 W0 010 502 
AUDI,Audi A4,2024,2024,W9 061 197 A,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2024,2024,W9 061 197 L,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2025,2025,W0 906 261 F,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2025,2025,W5 061 197 L,433MHz,adekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsystem 010010 - 0208 W0 010 502 
AUDI,Audi A4,2025,2025,W9 061 197 A,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
AUDI,Audi A4,2025,2025,W9 061 197 L,433MHz,2018061061 - 0708 W5 061 197 Ladekantenschutz Schutzfolie 061061 - 0708 K0 010 500 D Hinweisschild Reifendruckkontrollsy
BMW,3',F30(11/2011 - 05/2015),320d,13 62 8 507 634,433MHz,Sensor Abgasdruck1315 31_095637 14 6 793 848Adapterleitung Sensor3110 13_136913 62 8 507 634Sensor A
BMW,X1,U11(07/2022 - 03/2026),X1 16i,36 10 6 877 937,433MHz,Radelektronikmodul RDC 433MHZ3615 36_290936 10 6 877 937Radelektronikmodul RDC 433MHZ3615 36_291136 
BMW,X3,F25(09/2010 - 08/2016),X3 18d B47,36 10 6 856 227,433MHz,Radelektronikmodul RDC 433MHZ3615 36_158836 10 6 874 829Radelektronikmodul RDC 433MHZ3615 36_158836 
BMW,X3,F25(09/2010 - 08/2016),X3 18d B47,36 10 6 874 829,433MHz,Radelektronikmodul RDC 433MHZ3615 36_158836 10 6 874 830Radelektronikmodul RDC 433MHZ3615 36_158836 
BMW,X3,F25(09/2010 - 08/2016),X3 18d B47,36 10 6 874 830,433MHz,Radelektronikmodul RDC 433MHZ3615 36_158836 10 6 890 964Radelektronikmodul RDC 433MHZ3615 88Serv
BMW,X3,F25(09/2010 - 08/2016),X3 18d B47,36 10 6 890 964,433MHz,Radelektronikmodul RDC 433MHZ3615 88Serv
